; PERSON  C:\Users\anthony_raborn\OneDrive - National Association of Boards of Pharmacy\an  Dec  9 2023  0:20
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
    44 -1.1578  1   200.0     68.0  .1849   1.07    .82   1.06    .38  .0000    .55   1.00  77.5  77.9   .58   .40 -1.1572 0044
    45  -.1676  1   200.0     97.0  .1853   1.08    .76   1.10    .77  .0000    .61   1.00  79.5  81.4   .64   .40  -.1677 0045
    46  -.4076  1   200.0     90.0  .1850    .89   -.98    .90   -.67  .0000    .68   1.00  83.5  81.0   .64   .36  -.4078 0046
    47   .5855  1   200.0    119.0  .1845   1.09    .86   1.21   1.32  .0000    .57   1.00  78.0  79.9   .62   .40   .5857 0047
    48 -1.4333  1   200.0     60.0  .1865    .91  -1.11    .78  -1.00  .0000    .60   1.00  79.0  77.3   .55   .36 -1.4317 0048
    49  -.4760  1   200.0     88.0  .1849   1.08    .74   1.13    .90  .0000    .60   1.00  78.5  80.8   .63   .40  -.4763 0049
    50  1.0961  1   200.0    134.0  .1850   1.02    .29    .91   -.43  .0000    .57   1.00  77.0  77.7   .58   .39  1.0954 0050
    51  1.3027  1   200.0    140.0  .1863   1.01    .11   1.03    .21  .0000    .55   1.00  76.5  77.1   .55   .38  1.3011 0051
    52  -.3048  1   200.0     93.0  .1851    .92   -.75    .97   -.21  .0000    .67   1.00  84.5  81.2   .64   .37  -.3050 0052
    53  1.3374  1   200.0    141.0  .1866    .98   -.25    .75  -1.16  .0000    .58   1.00  74.5  77.0   .55   .37  1.3357 0053
    54 -1.5734  1   200.0     56.0  .1879    .98   -.28    .88   -.44  .0000    .55   1.00  76.5  77.3   .54   .37 -1.5712 0054
    55  -.1676  1   200.0     97.0  .1853   1.08    .69   1.03    .30  .0000    .62   1.00  79.5  81.4   .64   .40  -.1677 0055
    56   .1755  1   200.0    107.0  .1851   1.05    .52   1.11    .86  .0000    .61   1.00  81.0  81.2   .64   .39   .1758 0056
    57 -1.7887  1   200.0     50.0  .1911    .92  -1.05    .83   -.61  .0000    .55   1.00  77.5  77.8   .51   .35 -1.7853 0057
    58  -.2019  1   200.0     96.0  .1852   1.10    .93   1.14   1.02  .0000    .60   1.00  79.0  81.4   .64   .40  -.2020 0058
    59  -.2362  1   200.0     95.0  .1852    .96   -.35    .95   -.31  .0000    .66   1.00  82.5  81.3   .64   .37  -.2364 0059
    60   .0383  1   200.0    103.0  .1853    .96   -.36    .95   -.36  .0000    .66   1.00  82.5  81.4   .64   .37   .0385 0060
    61  -.2019  1   200.0     96.0  .1852   1.11    .96   1.19   1.39  .0000    .59   1.00  80.0  81.4   .64   .40  -.2020 0061
    62   .3467  1   200.0    112.0  .1849   1.09    .82   1.10    .71  .0000    .60   1.00  79.5  80.8   .63   .40   .3470 0062
    63   .9596  1   200.0    130.0  .1845   1.06    .74   1.32   1.66  .0000    .54   1.00  77.0  78.3   .59   .40   .9593 0063
    64   .3809  1   200.0    113.0  .1848   1.07    .72   1.12    .88  .0000    .59   1.00  78.5  80.7   .63   .40   .3812 0064
    65  -.8171  1   200.0     78.0  .1845    .84  -1.70    .83  -1.07  .0000    .69   1.00  83.5  79.3   .61   .35  -.8172 0065
    66   .1070  1   200.0    105.0  .1852   1.10    .93   1.06    .49  .0000    .60   1.00  77.5  81.3   .64   .40   .1071 0066
    67   .7216  1   200.0    123.0  .1844   1.00   -.02    .95   -.23  .0000    .62   1.00  79.5  79.4   .61   .38   .7217 0067
    68   .8576  1   200.0    127.0  .1844   1.06    .71   1.07    .45  .0000    .57   1.00  79.0  78.8   .60   .40   .8574 0068
    69  -.7490  1   200.0     80.0  .1846   1.13   1.30   1.23   1.42  .0000    .55   1.00  77.5  79.7   .62   .41  -.7492 0069
    70  -.3391  1   200.0     92.0  .1851    .79  -2.07    .70  -2.40  .0000    .74   1.00  86.0  81.1   .64   .34  -.3393 0070
    71   .6876  1   200.0    122.0  .1844    .97   -.30   1.03    .25  .0000    .62   1.00  80.0  79.5   .61   .38   .6877 0071
    72 -1.6088  1   200.0     55.0  .1884    .99   -.08   1.01    .14  .0000    .53   1.00  76.5  77.4   .53   .37 -1.6064 0072
    73  2.1594  1   200.0    163.0  .2040    .96   -.42    .89   -.21  .0000    .46   1.00  82.0  81.9   .44   .34  2.1521 0073
    74  -.1333  1   200.0     98.0  .1853   1.10    .92   1.14   1.06  .0000    .60   1.00  80.0  81.5   .64   .40  -.1333 0074
