; PERSON  C:\Users\anthony_raborn\OneDrive - National Association of Boards of Pharmacy\an  Dec  9 2023  0:20
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
   194   .3809  1   200.0    113.0  .1848   1.05    .45   1.10    .71  .0000    .61   1.00  79.5  80.7   .63   .39   .3812 0194
   195  -.3733  1   200.0     91.0  .1851    .78  -2.12    .76  -1.87  .0000    .73   1.00  86.0  81.1   .64   .34  -.3736 0195
   196  2.0370  1   200.0    160.0  .2000    .90  -1.18    .50  -1.80  .0000    .53   1.00  79.0  80.7   .45   .34  2.0309 0196
   197 -1.4333  1   200.0     60.0  .1865    .91  -1.14    .81   -.86  .0000    .60   1.00  80.0  77.3   .55   .36 -1.4317 0197
   198   .3809  1   200.0    113.0  .1848    .95   -.39    .91   -.57  .0000    .66   1.00  81.5  80.7   .63   .37   .3812 0198
   199  -.8511  1   200.0     77.0  .1845   1.07    .77   1.18   1.12  .0000    .57   1.00  79.0  79.2   .61   .40  -.8512 0199
   200 -2.0132  1   200.0     44.0  .1960   1.03    .34    .98    .02  .0000    .47   1.00  77.0  79.3   .48   .37 -2.0082 0200
   201  -.5102  1   200.0     87.0  .1849    .85  -1.41    .84  -1.18  .0000    .70   1.00  85.0  80.7   .63   .35  -.5105 0201
   202   .3467  1   200.0    112.0  .1849   1.00    .06   1.08    .59  .0000    .63   1.00  81.5  80.8   .63   .38   .3470 0202
   203  1.0620  1   200.0    133.0  .1848   1.12   1.38   1.27   1.36  .0000    .51   1.00  77.5  77.8   .58   .40  1.0613 0203
   204  -.3733  1   200.0     91.0  .1851   1.06    .53   1.04    .35  .0000    .62   1.00  79.0  81.1   .64   .39  -.3736 0204
   205  1.3027  1   200.0    140.0  .1863    .91  -1.10    .73  -1.28  .0000    .61   1.00  78.5  77.1   .55   .36  1.3011 0205
   206  -.6126  1   200.0     84.0  .1847   1.02    .18   1.03    .24  .0000    .62   1.00  80.5  80.3   .63   .39  -.6129 0206
   207   .7556  1   200.0    124.0  .1844   1.03    .36   1.03    .23  .0000    .60   1.00  78.5  79.2   .61   .39   .7556 0207
   208   .9937  1   200.0    131.0  .1846    .93   -.75    .76  -1.36  .0000    .63   1.00  79.5  78.1   .59   .37   .9932 0208
   209  1.5488  1   200.0    147.0  .1891   1.16   2.10   1.33   1.27  .0000    .43   1.00  74.0  77.1   .52   .40  1.5461 0209
   210  -.7490  1   200.0     80.0  .1846   1.01    .12    .96   -.21  .0000    .62   1.00  79.5  79.7   .62   .38  -.7492 0210
   211   .6536  1   200.0    121.0  .1844    .99   -.02   1.00    .05  .0000    .62   1.00  79.0  79.7   .62   .38   .6537 0211
   212 -1.8623  1   200.0     48.0  .1925    .91  -1.18    .66  -1.32  .0000    .56   1.00  80.5  78.2   .50   .35 -1.8584 0212
   213   .2098  1   200.0    108.0  .1851   1.05    .49   1.03    .29  .0000    .62   1.00  79.5  81.2   .64   .39   .2100 0213
   214  -.5785  1   200.0     85.0  .1848   1.02    .19    .99   -.02  .0000    .63   1.00  80.0  80.4   .63   .39  -.5788 0214
   215   .9596  1   200.0    130.0  .1845    .97   -.30    .97   -.12  .0000    .60   1.00  79.0  78.3   .59   .38   .9593 0215
   216  -.8171  1   200.0     78.0  .1845   1.08    .85   1.20   1.22  .0000    .57   1.00  78.5  79.3   .61   .40  -.8172 0216
   217  -.8851  1   200.0     76.0  .1845   1.10   1.00   1.13    .80  .0000    .56   1.00  76.0  79.0   .61   .40  -.8851 0217
   218 -1.7887  1   200.0     50.0  .1911   1.05    .70   1.25    .98  .0000    .47   1.00  77.5  77.8   .51   .38 -1.7853 0218
   219   .2098  1   200.0    108.0  .1851   1.07    .67   1.05    .43  .0000    .61   1.00  79.5  81.2   .64   .40   .2100 0219
   220  -.9532  1   200.0     74.0  .1845    .95   -.48   1.05    .36  .0000    .62   1.00  81.0  78.7   .60   .37  -.9531 0220
   221  1.2335  1   200.0    138.0  .1857   1.19   2.26   1.26   1.23  .0000    .46   1.00  73.0  77.2   .56   .42  1.2322 0221
   222   .3125  1   200.0    111.0  .1849    .98   -.12    .91   -.62  .0000    .65   1.00  80.0  80.9   .64   .38   .3128 0222
   223   .5174  1   200.0    117.0  .1846    .81  -1.92    .74  -1.90  .0000    .71   1.00  85.0  80.2   .63   .34   .5176 0223
   224  -.2019  1   200.0     96.0  .1852    .95   -.40    .96   -.24  .0000    .66   1.00  83.0  81.4   .64   .37  -.2020 0224
   225   .2441  1   200.0    109.0  .1850    .96   -.36    .96   -.25  .0000    .66   1.00  82.0  81.1   .64   .37   .2443 0225
   226   .3467  1   200.0    112.0  .1849    .87  -1.18    .78  -1.61  .0000    .70   1.00  83.5  80.8   .63   .36   .3470 0226
   227   .1755  1   200.0    107.0  .1851   1.08    .70   1.07    .54  .0000    .61   1.00  80.0  81.2   .64   .40   .1758 0227
   228 -2.3350  1   200.0     36.0  .2059   1.06    .65   1.04    .22  .0000    .40   1.00  82.0  82.3   .43   .35 -2.3273 0228
   229  1.8807  1   200.0    156.0  .1956    .93   -.93    .63  -1.34  .0000    .53   1.00  80.5  79.1   .48   .35  1.8758 0229
   230 -1.3986  1   200.0     61.0  .1862    .98   -.19    .93   -.28  .0000    .57   1.00  78.5  77.3   .56   .38 -1.3971 0230
   231   .1755  1   200.0    107.0  .1851    .88  -1.05    .87   -.92  .0000    .69   1.00  84.0  81.2   .64   .36   .1758 0231
   232  2.6657  1   200.0    174.0  .2276    .95   -.38    .51  -1.18  .0000    .41   1.00  87.0  87.0   .36   .30  2.6524 0232
   233  1.3374  1   200.0    141.0  .1866   1.05    .66   1.08    .42  .0000    .53   1.00  73.5  77.0   .55   .39  1.3357 0233
   234  -.7490  1   200.0     80.0  .1846   1.08    .81   1.12    .79  .0000    .58   1.00  79.5  79.7   .62   .40  -.7492 0234
   235 -1.0895  1   200.0     70.0  .1847    .95   -.49    .92   -.38  .0000    .61   1.00  80.0  78.1   .59   .37 -1.0891 0235
   236   .1755  1   200.0    107.0  .1851    .94   -.53   1.03    .29  .0000    .66   1.00  84.0  81.2   .64   .37   .1758 0236
   237 -1.0213  1   200.0     72.0  .1846    .95   -.53    .99   -.01  .0000    .62   1.00  78.5  78.4   .60   .37 -1.0211 0237
   238  -.0990  1   200.0     99.0  .1853    .90   -.91    .85  -1.17  .0000    .69   1.00  83.5  81.5   .64   .36  -.0990 0238
   239   .1413  1   200.0    106.0  .1852    .92   -.69    .84  -1.21  .0000    .68   1.00  83.0  81.3   .64   .37   .1415 0239
   240  1.6207  1   200.0    149.0  .1902   1.00    .07   1.03    .19  .0000    .50   1.00  79.5  77.3   .51   .37  1.6176 0240
   241   .8236  1   200.0    126.0  .1844   1.16   1.64   1.29   1.62  .0000    .52   1.00  73.5  78.9   .60   .41   .8235 0241
   242   .0040  1   200.0    102.0  .1853   1.23   1.94   1.34   2.33  .0000    .53   1.00  77.0  81.5   .64   .42   .0041 0242
   243  -.1676  1   200.0     97.0  .1853    .91   -.81    .90   -.75  .0000    .68   1.00  83.5  81.4   .64   .36  -.1677 0243
   244   .1413  1   200.0    106.0  .1852   1.01    .09    .98   -.12  .0000    .64   1.00  81.0  81.3   .64   .38   .1415 0244
   245   .7556  1   200.0    124.0  .1844   1.06    .69    .96   -.18  .0000    .59   1.00  76.5  79.2   .61   .40   .7556 0245
   246  -.6467  1   200.0     83.0  .1847   1.24   2.22   1.35   2.19  .0000    .51   1.00  74.0  80.1   .63   .43  -.6470 0246
   247   .6876  1   200.0    122.0  .1844   1.00    .03   1.05    .33  .0000    .61   1.00  80.0  79.5   .61   .38   .6877 0247
   248   .6536  1   200.0    121.0  .1844    .98   -.18    .96   -.21  .0000    .63   1.00  82.0  79.7   .62   .38   .6537 0248
   249  -.2705  1   200.0     94.0  .1852    .84  -1.50    .80  -1.57  .0000    .72   1.00  85.0  81.3   .64   .35  -.2707 0249
   250 -1.8995  1   200.0     47.0  .1933    .95   -.68    .92   -.20  .0000    .52   1.00  80.0  78.5   .49   .36 -1.8954 0250
   251   .1755  1   200.0    107.0  .1851   1.21   1.81   1.16   1.15  .0000    .56   1.00  76.0  81.2   .64   .42   .1758 0251
   252   .1413  1   200.0    106.0  .1852    .89   -.99    .88   -.85  .0000    .69   1.00  84.0  81.3   .64   .36   .1415 0252
   253   .3125  1   200.0    111.0  .1849   1.12   1.12   1.11    .81  .0000    .58   1.00  77.0  80.9   .64   .41   .3128 0253
   254   .5514  1   200.0    118.0  .1846   1.14   1.29   1.10    .66  .0000    .57   1.00  76.0  80.1   .62   .41   .5517 0254
   255  -.9873  1   200.0     73.0  .1845   1.04    .49   1.01    .13  .0000    .58   1.00  79.0  78.6   .60   .39  -.9871 0255
   256  -.9532  1   200.0     74.0  .1845    .96   -.35   1.03    .24  .0000    .61   1.00  78.0  78.7   .60   .38  -.9531 0256
   257   .3809  1   200.0    113.0  .1848   1.16   1.41   1.22   1.47  .0000    .56   1.00  77.5  80.7   .63   .41   .3812 0257
   258  1.3723  1   200.0    142.0  .1869   1.04    .54    .96   -.10  .0000    .53   1.00  75.5  77.0   .54   .39  1.3704 0258
   259  -.1676  1   200.0     97.0  .1853   1.04    .39   1.07    .59  .0000    .62   1.00  81.5  81.4   .64   .39  -.1677 0259
   260  1.4777  1   200.0    145.0  .1881   1.11   1.44   1.20    .85  .0000    .47   1.00  76.0  77.0   .53   .40  1.4753 0260
   261  -.4076  1   200.0     90.0  .1850    .89  -1.00    .80  -1.48  .0000    .69   1.00  82.5  81.0   .64   .36  -.4078 0261
   262  -.7490  1   200.0     80.0  .1846    .96   -.33    .87   -.80  .0000    .64   1.00  79.5  79.7   .62   .38  -.7492 0262
   263  2.8279  1   200.0    177.0  .2377    .98   -.13    .72   -.48  .0000    .36   1.00  88.5  88.5   .34   .29  2.8121 0263
   264   .3125  1   200.0    111.0  .1849    .95   -.44   1.03    .24  .0000    .65   1.00  82.0  80.9   .64   .37   .3128 0264
   265   .4492  1   200.0    115.0  .1847   1.01    .09   1.02    .16  .0000    .63   1.00  80.0  80.5   .63   .38   .4495 0265
   266  -.3391  1   200.0     92.0  .1851   1.16   1.43   1.16   1.16  .0000    .57   1.00  77.0  81.1   .64   .41  -.3393 0266
   267 -1.4333  1   200.0     60.0  .1865   1.02    .32   1.08    .43  .0000    .54   1.00  76.0  77.3   .55   .38 -1.4317 0267
   268   .4833  1   200.0    116.0  .1847   1.11   1.01   1.07    .49  .0000    .58   1.00  76.5  80.3   .63   .40   .4836 0268
   269  1.4073  1   200.0    143.0  .1873    .89  -1.45    .68  -1.48  .0000    .60   1.00  80.0  77.0   .54   .36  1.4053 0269
   270  -.5444  1   200.0     86.0  .1848    .88  -1.09    .86   -.99  .0000    .68   1.00  82.5  80.5   .63   .36  -.5446 0270
   271   .8236  1   200.0    126.0  .1844   1.07    .71   1.10    .60  .0000    .57   1.00  79.5  78.9   .60   .40   .8235 0271
   272  -.8171  1   200.0     78.0  .1845    .99   -.09   1.01    .09  .0000    .62   1.00  80.5  79.3   .61   .38  -.8172 0272
   273  -.0303  1   200.0    101.0  .1853    .93   -.64    .91   -.65  .0000    .68   1.00  82.5  81.5   .64   .37  -.0303 0273
   274   .6195  1   200.0    120.0  .1845    .96   -.40    .95   -.28  .0000    .64   1.00  81.0  79.8   .62   .38   .6197 0274
   275   .0040  1   200.0    102.0  .1853    .96   -.33    .97   -.16  .0000    .66   1.00  83.0  81.5   .64   .37   .0041 0275
   276   .5855  1   200.0    119.0  .1845   1.06    .61   1.09    .65  .0000    .59   1.00  78.0  79.9   .62   .39   .5857 0276
   277   .0727  1   200.0    104.0  .1852   1.11   1.02   1.13   1.00  .0000    .59   1.00  79.0  81.4   .64   .40   .0728 0277
   278 -1.7161  1   200.0     52.0  .1899   1.07    .94   1.24    .98  .0000    .47   1.00  78.5  77.6   .52   .39 -1.7131 0278
   279  -.4760  1   200.0     88.0  .1849    .89  -1.06    .90   -.71  .0000    .68   1.00  83.5  80.8   .63   .36  -.4763 0279
   280  -.7149  1   200.0     81.0  .1846   1.05    .51   1.09    .60  .0000    .60   1.00  79.0  79.8   .62   .39  -.7151 0280
   281   .9596  1   200.0    130.0  .1845   1.14   1.48   1.28   1.46  .0000    .52   1.00  74.0  78.3   .59   .41   .9593 0281
   282  -.1333  1   200.0     98.0  .1853   1.03    .34   1.02    .18  .0000    .63   1.00  81.0  81.5   .64   .39  -.1333 0282
   283  1.0620  1   200.0    133.0  .1848   1.25   2.69   1.33   1.63  .0000    .46   1.00  68.5  77.8   .58   .43  1.0613 0283
   284   .6536  1   200.0    121.0  .1844    .97   -.28    .99    .00  .0000    .63   1.00  82.0  79.7   .62   .38   .6537 0284
   285   .5174  1   200.0    117.0  .1846    .76  -2.55    .69  -2.25  .0000    .74   1.00  85.0  80.2   .63   .33   .5176 0285
   286  -.1676  1   200.0     97.0  .1853   1.10    .89   1.09    .72  .0000    .60   1.00  78.5  81.4   .64   .40  -.1677 0286
   287  1.1991  1   200.0    137.0  .1855    .88  -1.46    .76  -1.18  .0000    .62   1.00  78.5  77.3   .56   .36  1.1979 0287
   288  -.3048  1   200.0     93.0  .1851    .61  -4.09    .62  -3.22  .0000    .81   1.00  91.5  81.2   .64   .30  -.3050 0288
   289   .4833  1   200.0    116.0  .1847    .92   -.78   1.01    .09  .0000    .66   1.00  81.5  80.3   .63   .37   .4836 0289
   290   .2441  1   200.0    109.0  .1850   1.10    .96   1.23   1.63  .0000    .58   1.00  80.0  81.1   .64   .40   .2443 0290
   291  -.6126  1   200.0     84.0  .1847   1.01    .13   1.01    .14  .0000    .62   1.00  79.5  80.3   .63   .38  -.6129 0291
   292  -.4760  1   200.0     88.0  .1849    .97   -.25    .90   -.71  .0000    .66   1.00  80.5  80.8   .63   .38  -.4763 0292
   293 -1.4681  1   200.0     59.0  .1868   1.05    .60   1.18    .85  .0000    .52   1.00  76.5  77.3   .55   .39 -1.4664 0293
   294  1.7304  1   200.0    152.0  .1922    .98   -.22    .80   -.68  .0000    .52   1.00  79.0  77.8   .50   .36  1.7265 0294
   295  -.4760  1   200.0     88.0  .1849   1.15   1.39   1.15   1.04  .0000    .57   1.00  77.5  80.8   .63   .41  -.4763 0295
   296  -.0646  1   200.0    100.0  .1853    .92   -.71    .92   -.56  .0000    .68   1.00  84.0  81.5   .64   .37  -.0646 0296
   297 -1.0213  1   200.0     72.0  .1846   1.00   -.02   1.09    .53  .0000    .59   1.00  78.5  78.4   .60   .38 -1.0211 0297
   298  -.2705  1   200.0     94.0  .1852    .95   -.40    .95   -.33  .0000    .66   1.00  82.0  81.3   .64   .37  -.2707 0298
   299   .6536  1   200.0    121.0  .1844    .85  -1.52    .96   -.21  .0000    .67   1.00  83.0  79.7   .62   .35   .6537 0299
   300   .2441  1   200.0    109.0  .1850   1.06    .54    .99   -.05  .0000    .62   1.00  79.0  81.1   .64   .39   .2443 0300
   301 -1.0554  1   200.0     71.0  .1846    .98   -.20    .92   -.42  .0000    .61   1.00  77.5  78.3   .59   .38 -1.0551 0301
   302   .1070  1   200.0    105.0  .1852   1.12   1.07   1.09    .73  .0000    .59   1.00  78.5  81.3   .64   .40   .1071 0302
   303   .7216  1   200.0    123.0  .1844    .92   -.79    .89   -.67  .0000    .65   1.00  81.5  79.4   .61   .37   .7217 0303
   304  1.1304  1   200.0    135.0  .1851   1.05    .64   1.03    .21  .0000    .55   1.00  75.0  77.6   .57   .39  1.1295 0304
   305   .5855  1   200.0    119.0  .1845    .89  -1.12    .80  -1.34  .0000    .68   1.00  82.0  79.9   .62   .36   .5857 0305
   306  -.7830  1   200.0     79.0  .1845    .83  -1.75    .73  -1.84  .0000    .70   1.00  83.0  79.5   .62   .35  -.7832 0306
   307  -.9873  1   200.0     73.0  .1845    .97   -.34    .88   -.69  .0000    .62   1.00  77.0  78.6   .60   .38  -.9871 0307
   308  -.3733  1   200.0     91.0  .1851   1.02    .19   1.00    .03  .0000    .63   1.00  81.0  81.1   .64   .39  -.3736 0308
   309   .4150  1   200.0    114.0  .1848    .76  -2.45    .76  -1.80  .0000    .74   1.00  87.5  80.6   .63   .33   .4153 0309
   310   .7216  1   200.0    123.0  .1844    .93   -.69    .90   -.56  .0000    .64   1.00  81.5  79.4   .61   .37   .7217 0310
   311  -.9873  1   200.0     73.0  .1845    .96   -.40    .87   -.74  .0000    .63   1.00  81.0  78.6   .60   .38  -.9871 0311
   312   .7896  1   200.0    125.0  .1844   1.04    .42   1.05    .36  .0000    .59   1.00  77.0  79.1   .61   .39   .7895 0312
   313   .4833  1   200.0    116.0  .1847   1.01    .12    .98   -.11  .0000    .63   1.00  79.5  80.3   .63   .38   .4836 0313
   314 -2.0132  1   200.0     44.0  .1960    .91  -1.16    .64  -1.29  .0000    .54   1.00  80.0  79.3   .48   .34 -2.0082 0314
   315  1.5132  1   200.0    146.0  .1886   1.04    .50   1.14    .64  .0000    .50   1.00  76.5  77.0   .53   .38  1.5106 0315
   316  -.4076  1   200.0     90.0  .1850   1.13   1.14   1.21   1.48  .0000    .58   1.00  78.5  81.0   .64   .41  -.4078 0316
   317   .9256  1   200.0    129.0  .1845    .88  -1.31    .73  -1.62  .0000    .66   1.00  79.5  78.5   .59   .36   .9253 0317
   318   .7556  1   200.0    124.0  .1844    .95   -.47    .86   -.81  .0000    .64   1.00  78.5  79.2   .61   .37   .7556 0318
   319   .7556  1   200.0    124.0  .1844    .96   -.40    .84   -.99  .0000    .64   1.00  80.5  79.2   .61   .38   .7556 0319
   320   .1070  1   200.0    105.0  .1852   1.00    .03   1.02    .17  .0000    .64   1.00  81.5  81.3   .64   .38   .1071 0320
   321  -.4076  1   200.0     90.0  .1850    .90   -.87    .94   -.36  .0000    .67   1.00  84.5  81.0   .64   .36  -.4078 0321
   322   .3125  1   200.0    111.0  .1849   1.05    .45   1.13    .95  .0000    .61   1.00  80.0  80.9   .64   .39   .3128 0322
   323  -.4076  1   200.0     90.0  .1850    .95   -.41    .89   -.75  .0000    .66   1.00  81.5  81.0   .64   .37  -.4078 0323
   324   .1413  1   200.0    106.0  .1852   1.03    .27    .98   -.14  .0000    .64   1.00  79.0  81.3   .64   .39   .1415 0324
   325  -.8851  1   200.0     76.0  .1845    .93   -.67    .84   -.97  .0000    .65   1.00  79.0  79.0   .61   .37  -.8851 0325
   326  -.7490  1   200.0     80.0  .1846   1.19   1.79   1.29   1.79  .0000    .53   1.00  76.5  79.7   .62   .42  -.7492 0326
   327  1.8426  1   200.0    155.0  .1947   1.06    .81    .85   -.43  .0000    .46   1.00  76.0  78.7   .48   .37  1.8380 0327
   328   .6195  1   200.0    120.0  .1845   1.00    .02    .90   -.58  .0000    .63   1.00  79.0  79.8   .62   .38   .6197 0328
   329  -.7149  1   200.0     81.0  .1846    .78  -2.28    .76  -1.66  .0000    .72   1.00  85.0  79.8   .62   .34  -.7151 0329
   330  1.1304  1   200.0    135.0  .1851   1.01    .11   1.02    .17  .0000    .57   1.00  77.0  77.6   .57   .38  1.1295 0330
   331   .5514  1   200.0    118.0  .1846   1.00    .07   1.01    .11  .0000    .62   1.00  80.0  80.1   .62   .38   .5517 0331
   332   .3467  1   200.0    112.0  .1849    .98   -.14    .99   -.05  .0000    .64   1.00  81.5  80.8   .63   .38   .3470 0332
   333 -2.2929  1   200.0     37.0  .2044   1.07    .79   1.13    .47  .0000    .40   1.00  79.0  81.9   .44   .36 -2.2856 0333
   334  1.4073  1   200.0    143.0  .1873    .95   -.70    .86   -.56  .0000    .57   1.00  76.0  77.0   .54   .37  1.4053 0334
   335 -1.6088  1   200.0     55.0  .1884   1.18   2.19   1.44   1.70  .0000    .43   1.00  71.5  77.4   .53   .41 -1.6064 0335
   336  -.3733  1   200.0     91.0  .1851    .84  -1.46    .80  -1.53  .0000    .71   1.00  85.0  81.1   .64   .35  -.3736 0336
   337  1.3374  1   200.0    141.0  .1866    .98   -.25   1.26   1.16  .0000    .54   1.00  79.5  77.0   .55   .37  1.3357 0337
   338   .0040  1   200.0    102.0  .1853    .96   -.32   1.04    .35  .0000    .65   1.00  83.0  81.5   .64   .37   .0041 0338
   339  1.1304  1   200.0    135.0  .1851    .87  -1.60    .68  -1.73  .0000    .65   1.00  82.0  77.6   .57   .36  1.1295 0339
   340  -.4418  1   200.0     89.0  .1850   1.10    .90   1.06    .44  .0000    .60   1.00  79.0  80.9   .64   .40  -.4421 0340
   341  -.1676  1   200.0     97.0  .1853    .96   -.29    .91   -.64  .0000    .66   1.00  81.5  81.4   .64   .37  -.1677 0341
   342  -.5785  1   200.0     85.0  .1848    .97   -.25    .91   -.57  .0000    .65   1.00  81.0  80.4   .63   .38  -.5788 0342
   343   .8916  1   200.0    128.0  .1844    .97   -.31    .93   -.34  .0000    .62   1.00  77.5  78.6   .60   .38   .8914 0343
   344   .1413  1   200.0    106.0  .1852    .93   -.59    .91   -.67  .0000    .67   1.00  83.0  81.3   .64   .37   .1415 0344
   345  1.4073  1   200.0    143.0  .1873   1.09   1.15   1.19    .85  .0000    .49   1.00  76.0  77.0   .54   .39  1.4053 0345
   346  -.7830  1   200.0     79.0  .1845    .98   -.15    .95   -.29  .0000    .63   1.00  81.0  79.5   .62   .38  -.7832 0346
   347   .6536  1   200.0    121.0  .1844    .99   -.11   1.13    .84  .0000    .61   1.00  81.0  79.7   .62   .38   .6537 0347
   348  -.1676  1   200.0     97.0  .1853   1.10    .93   1.13    .97  .0000    .60   1.00  79.5  81.4   .64   .40  -.1677 0348
   349 -1.1236  1   200.0     69.0  .1848   1.06    .72   1.20   1.08  .0000    .55   1.00  75.5  78.0   .59   .39 -1.1231 0349
   350   .3125  1   200.0    111.0  .1849   1.08    .72   1.10    .73  .0000    .60   1.00  81.0  80.9   .64   .40   .3128 0350
   351  -.2362  1   200.0     95.0  .1852    .90   -.90    .84  -1.20  .0000    .69   1.00  83.5  81.3   .64   .36  -.2364 0351
   352   .6876  1   200.0    122.0  .1844   1.11   1.14   1.23   1.39  .0000    .55   1.00  77.0  79.5   .61   .40   .6877 0352
   353  1.8049  1   200.0    154.0  .1938    .98   -.21    .93   -.15  .0000    .49   1.00  80.0  78.4   .49   .36  1.8005 0353
   354  1.2681  1   200.0    139.0  .1860    .93   -.85    .73  -1.31  .0000    .60   1.00  77.5  77.1   .56   .37  1.2666 0354
   355   .7556  1   200.0    124.0  .1844   1.06    .62   1.06    .40  .0000    .58   1.00  78.5  79.2   .61   .39   .7556 0355
   356 -1.0554  1   200.0     71.0  .1846   1.00    .02    .93   -.35  .0000    .60   1.00  78.5  78.3   .59   .38 -1.0551 0356
   357  -.0990  1   200.0     99.0  .1853   1.07    .65   1.07    .59  .0000    .61   1.00  80.5  81.5   .64   .39  -.0990 0357
   358  -.6808  1   200.0     82.0  .1846    .87  -1.29    .87   -.86  .0000    .68   1.00  83.5  80.0   .62   .36  -.6811 0358
   359  -.7830  1   200.0     79.0  .1845    .89  -1.14    .82  -1.19  .0000    .67   1.00  83.0  79.5   .62   .36  -.7832 0359
   360  -.0646  1   200.0    100.0  .1853    .96   -.28    .95   -.36  .0000    .66   1.00  82.0  81.5   .64   .37  -.0646 0360
   361  -.3733  1   200.0     91.0  .1851   1.03    .31   1.06    .47  .0000    .62   1.00  80.0  81.1   .64   .39  -.3736 0361
   362  1.1991  1   200.0    137.0  .1855    .90  -1.20    .92   -.32  .0000    .60   1.00  82.5  77.3   .56   .36  1.1979 0362
   363   .8916  1   200.0    128.0  .1844    .88  -1.30    .75  -1.52  .0000    .66   1.00  80.5  78.6   .60   .36   .8914 0363
   364  -.4760  1   200.0     88.0  .1849    .87  -1.19    .84  -1.18  .0000    .69   1.00  82.5  80.8   .63   .36  -.4763 0364
   365   .6195  1   200.0    120.0  .1845   1.07    .72   1.18   1.15  .0000    .58   1.00  78.0  79.8   .62   .40   .6197 0365
   366  1.0961  1   200.0    134.0  .1850   1.00   -.01    .92   -.38  .0000    .58   1.00  80.0  77.7   .58   .38  1.0954 0366
   367  -.5785  1   200.0     85.0  .1848   1.04    .42   1.12    .87  .0000    .60   1.00  80.0  80.4   .63   .39  -.5788 0367
   368  -.4418  1   200.0     89.0  .1850    .90   -.95    .89   -.79  .0000    .68   1.00  82.0  80.9   .64   .36  -.4421 0368
   369 -1.2263  1   200.0     66.0  .1852    .86  -1.72    .74  -1.40  .0000    .65   1.00  82.5  77.6   .58   .35 -1.2254 0369
   370  -.3733  1   200.0     91.0  .1851    .98   -.13   1.03    .28  .0000    .64   1.00  81.0  81.1   .64   .38  -.3736 0370
   371  -.5785  1   200.0     85.0  .1848   1.11   1.00   1.11    .80  .0000    .58   1.00  79.0  80.4   .63   .40  -.5788 0371
   372   .1070  1   200.0    105.0  .1852    .81  -1.77    .77  -1.83  .0000    .73   1.00  86.5  81.3   .64   .34   .1071 0372
   373  -.2362  1   200.0     95.0  .1852    .88  -1.12    .94   -.44  .0000    .69   1.00  84.5  81.3   .64   .36  -.2364 0373
   374   .5174  1   200.0    117.0  .1846   1.17   1.57   1.25   1.60  .0000    .55   1.00  76.0  80.2   .63   .41   .5176 0374
   375   .0383  1   200.0    103.0  .1853   1.13   1.16   1.14   1.08  .0000    .59   1.00  78.5  81.4   .64   .41   .0385 0375
   376   .0383  1   200.0    103.0  .1853    .95   -.41    .95   -.35  .0000    .66   1.00  82.5  81.4   .64   .37   .0385 0376
   377   .6536  1   200.0    121.0  .1844    .99   -.09   1.04    .31  .0000    .62   1.00  80.0  79.7   .62   .38   .6537 0377
   378   .6195  1   200.0    120.0  .1845   1.11   1.11   1.06    .40  .0000    .57   1.00  77.0  79.8   .62   .40   .6197 0378
   379  -.6467  1   200.0     83.0  .1847    .91   -.83    .86   -.91  .0000    .67   1.00  81.0  80.1   .63   .37  -.6470 0379
   380  1.8807  1   200.0    156.0  .1956   1.23   2.75   1.63   1.89  .0000    .34   1.00  74.5  79.1   .48   .40  1.8758 0380
   381   .6536  1   200.0    121.0  .1844    .90   -.98    .93   -.37  .0000    .66   1.00  82.0  79.7   .62   .36   .6537 0381
   382  -.6126  1   200.0     84.0  .1847   1.02    .20   1.03    .25  .0000    .62   1.00  78.5  80.3   .63   .39  -.6129 0382
   383  -.9873  1   200.0     73.0  .1845   1.03    .35   1.05    .31  .0000    .58   1.00  78.0  78.6   .60   .39  -.9871 0383
   384  -.4760  1   200.0     88.0  .1849    .84  -1.58    .79  -1.54  .0000    .71   1.00  84.5  80.8   .63   .35  -.4763 0384
   385   .2098  1   200.0    108.0  .1851    .93   -.59    .91   -.66  .0000    .67   1.00  82.5  81.2   .64   .37   .2100 0385
   386   .2783  1   200.0    110.0  .1850   1.13   1.15   1.09    .70  .0000    .59   1.00  77.5  81.0   .64   .41   .2786 0386
   387   .6195  1   200.0    120.0  .1845   1.27   2.49   1.33   1.95  .0000    .50   1.00  73.0  79.8   .62   .43   .6197 0387
   388   .8916  1   200.0    128.0  .1844    .97   -.34   1.02    .19  .0000    .61   1.00  81.5  78.6   .60   .38   .8914 0388
   389   .2441  1   200.0    109.0  .1850    .83  -1.62    .80  -1.48  .0000    .71   1.00  85.0  81.1   .64   .35   .2443 0389
   390  -.1676  1   200.0     97.0  .1853   1.04    .40   1.05    .39  .0000    .63   1.00  80.5  81.4   .64   .39  -.1677 0390
   391  1.8807  1   200.0    156.0  .1956    .93   -.88    .79   -.65  .0000    .52   1.00  78.5  79.1   .48   .35  1.8758 0391
   392   .8916  1   200.0    128.0  .1844    .95   -.57    .82  -1.03  .0000    .63   1.00  79.5  78.6   .60   .37   .8914 0392
   393  1.5132  1   200.0    146.0  .1886   1.07    .94   1.38   1.49  .0000    .47   1.00  77.5  77.0   .53   .39  1.5106 0393
